pid,artist,label,_date,_tags,object_type,current_location,source,order,layout,collection,thumbnail,full
Obj_01,@SJSACADEMY,Familia es todo. Esta famila no es diferente a la tuya. Deportation leaves a trail of trauma and poverty for all involved,"May 22, 2019","#AbolishICE, #TrumpsAmerica, #FamiliesBelongTogether","Photo, Tweet","Antioch, CA",https://twitter.com/SJSACADEMY/status/1131065222892933122,00,tweets_item,tweets,/img/derivatives/simple/Obj_01/thumbnail.jpg,/img/derivatives/simple/Obj_01/fullwidth.jpg
Obj_02,@juniecamino,Here’s two words that Trump supporters need to know; common sense ,"May 14, 2020","#AbolishICE, #fucktrump, #Trump",Tweet,"Los Angeles, CA",https://twitter.com/juniecamino/status/1260863694516260864,01,tweets_item,tweets,/img/derivatives/simple/Obj_02/thumbnail.jpg,/img/derivatives/simple/Obj_02/fullwidth.jpg
Obj_03,@YouthJusticeLA,This is how #OccupyICELA does it. Block party for liberation! ,"July 4, 2018","#OccupyICELA, #LAagainstICE","Photo, Tweet","Los Angeles, CA",https://twitter.com/YouthJusticeLA/status/1014689926527442945,02,tweets_item,tweets,/img/derivatives/simple/Obj_03/thumbnail.jpg,/img/derivatives/simple/Obj_03/fullwidth.jpg
Obj_04,@GroundGameLA,Day 88 ,"June 22, 2019","#AbolishICE, #OccupyICELA","Photo, Tweet","Los Angeles, CA",https://twitter.com/GroundGameLA/status/1142538931784732673,03,tweets_item,tweets,/img/derivatives/simple/Obj_04/thumbnail.jpg,/img/derivatives/simple/Obj_04/fullwidth.jpg
Obj_05,@cultguerrilla,No Borders or nations just people!,"June 30, 2018","#LAAgainstICE, #AbolishICE ","Photo, Tweet",USA,https://twitter.com/cultguerrilla/status/1012970318204243968,04,tweets_item,tweets,/img/derivatives/simple/Obj_05/thumbnail.jpg,/img/derivatives/simple/Obj_05/fullwidth.jpg
Obj_06,@drloisweiner,Aviso #LosAngeles fighting ICE,"June 22, 2018",#LAAgainstICE ,Tweet,"New York, NY",https://twitter.com/drloisweiner/status/1010339728292491264,05,tweets_item,tweets,/img/derivatives/simple/Obj_06/thumbnail.jpg,/img/derivatives/simple/Obj_06/fullwidth.jpg
Obj_07,@ReporterClaudia,Another view of the protest this evening at #LA City Hall. #DACA @knx1070,"September 5th, 2017","#DACA, #LA","Video, Tweet","Los Angeles, CA",https://twitter.com/ReporterClaudia/status/905251070863065088?s=20,06,tweets_item,tweets,/img/derivatives/simple/Obj_07/thumbnail.jpg,/img/derivatives/simple/Obj_07/fullwidth.jpg
Obj_08,@AdamBAMN,#LA #LosAngeles #HighSchool #Walkout #Protest Defend & Expand #Sanctuary Cities & Campuses #NoTrumpTyranny Defend #DACA & #DAPA 11.14.16,"November 14, 2016","#DACA, #LA, #NoTrumpTryanny ","Photo, Tweet","Los Angeles, CA",https://x.com/AdamBAMN/status/798301933064704000?s=20,07,tweets_item,tweets,/img/derivatives/simple/Obj_08/thumbnail.jpg,/img/derivatives/simple/Obj_08/fullwidth.jpg
Obj_09,@KarlxBaumann,"Protest against 
@realDonaldTrump
 #DACArepeal in front of LA City Hall right now 🇺🇸🏙 #DACAprotest #LA #DACA #LaborDay","September 5, 2017","#DACA, #DACAprotest","Photo, Tweet","Los Angeles, CA",https://twitter.com/KarlxBaumann/status/905254021786517504?s=20,08,tweets_item,tweets,/img/derivatives/simple/Obj_09/thumbnail.jpg,/img/derivatives/simple/Obj_09/fullwidth.jpg
Obj_10,@Monica4LA,"Still marching!

#daca #dacadreamers #dacaprotest #hereishome","November 12, 2019","#DACA, #DACAprotest, #hereishome","Photo, Tweet","Los Angeles, CA",https://twitter.com/Monica4LA/status/1194411358588030977,09,tweets_item,tweets,/img/derivatives/simple/Obj_10/thumbnail.jpg,/img/derivatives/simple/Obj_10/fullwidth.jpg
Obj_11,@Gittelrock,"A young protester @ #DACAprotest, Placita Olvera, downtown LA #defendDACA #DACA #DACArepeal","September 5, 2017","#DACA, #DefendDACA, #DACAprotest","Photo, Tweet","Los Angeles, CA",https://twitter.com/Gittelrock/status/905238400554463232?s=20,10,tweets_item,tweets,/img/derivatives/simple/Obj_11/thumbnail.jpg,/img/derivatives/simple/Obj_11/fullwidth.jpg
Obj_12,@zhshar,#UCLA marching in support of #DACA students at the #DACAprotest in LA,"September 10, 2017","#DACA, #DACAprotest","Photo, Tweet","Los Angeles, CA",https://twitter.com/zhshar/status/907017570112364544?s=20,11,tweets_item,tweets,/img/derivatives/simple/Obj_12/thumbnail.jpg,/img/derivatives/simple/Obj_12/fullwidth.jpg
Obj_13,@FerrerasMarlene,Seguiremos en la lucha #DefendDACA #DACA #DACAprotest,"September 6, 2017",#DefendDACA #DACA #DACAprotest,"Video, Tweet","Los Angeles, CA",https://twitter.com/FerrerasMarlene/status/905288387120300032?s=20,12,tweets_item,tweets,/img/derivatives/simple/Obj_13/thumbnail.jpg,/img/derivatives/simple/Obj_13/fullwidth.jpg
Obj_14,@WaltMancini,"President Trump ended Deferred Action Childhood Arrivals #DACA #DACADreamer #DACAprotest 
@HildaSolis #LA @CHIRA
 http://video.dailynews.com/?vcid=32935895&freewheel=92461&sitesection=scng","September 5, 2017","#DACA, #DACA","Photo, Tweet ","Franklinton, LA, CA",https://twitter.com/WaltMancini/status/905232481434996736?s=20,13,tweets_item,tweets,/img/derivatives/simple/Obj_14/thumbnail.jpg,/img/derivatives/simple/Obj_14/fullwidth.jpg
Obj_15,@nickluca12,Amazing crowd in LA yesterday! #DACA #LosAngeles #ProtectDREAMers #ProtectDACA #DACAprotest,"September 6, 2017","#DACA, #ProtectDREAMers, #ProtectDACA, #DACAprotest","Photo, Tweet","Los Angeles, CA",https://twitter.com/nickluca12/status/905596356307312640?s=20,14,tweets_item,tweets,/img/derivatives/simple/Obj_15/thumbnail.jpg,/img/derivatives/simple/Obj_15/fullwidth.jpg
Obj_16,@LaResisters,LA #DACAprotest No hate! No fear!,"September 10, 2017",#DACAprotest,"Photo, Tweet","Los Angeles, CA",https://twitter.com/LaResisters/status/907017985377812480?s=20,15,tweets_item,tweets,/img/derivatives/simple/Obj_16/thumbnail.jpg,/img/derivatives/simple/Obj_16/fullwidth.jpg
